age,weight,height,sex,goal,activity,recommended_diet,initial_weight,final_weight,duration_days,waist_before,waist_after,hips_before,hips_after,chest_before,chest_after,food_likes,food_dislikes,diet_type_used,satisfaction_level,success,estimated_lean_mass,calories_deficit,macro_protein,macro_fat,macro_carbs,food_intolerance
45,67.5,181,жена,поддържане,средна,растителен,67.4,67.5,114,108,100,106,98,108,102,"картофи, зеленчуци, сладко","риба, зеленчуци",растителен,9,True,54.0,2193,97,69,264,
46,121.3,191,мъж,качване,висока,балансиран,116.4,121.3,101,70,60,103,102,101,97,"тестени изделия, сирене, картофи","тестени изделия, сирене",балансиран,4,True,97.0,1849,114,88,269,
48,91.8,185,мъж,качване,висока,високопротеинов,91.0,91.8,64,101,91,120,111,101,98,"картофи, сирене, плодове","яйца, ориз",високопротеинов,8,True,73.4,2453,127,71,295,
43,86.2,182,мъж,поддържане,ниска,балансиран,94.7,86.2,49,107,99,103,94,120,117,"сирене, сладко, зеленчуци","сирене, риба",балансиран,9,False,69.0,1967,124,79,233,
57,96.4,187,жена,отслабване,висока,нисковъглехидратен,98.2,96.4,114,82,76,117,116,94,92,"сладко, тестени изделия, плодове","риба, картофи",нисковъглехидратен,9,True,77.1,2327,117,80,181,
27,66.4,170,жена,поддържане,ниска,високопротеинов,76.1,66.4,54,73,69,120,112,91,83,"пилешко, ориз, сирене","картофи, сирене",високопротеинов,9,False,53.1,2335,133,60,170,
36,95.7,175,мъж,качване,висока,растителен,104.0,95.7,90,100,91,101,93,84,80,"сирене, плодове, зеленчуци","сладко, плодове",растителен,9,False,76.6,1982,109,92,212,
41,66.5,168,жена,качване,средна,растителен,57.2,66.5,112,89,82,91,87,83,73,"сладко, пилешко, ориз","зеленчуци, сладко",растителен,2,True,53.2,1769,96,52,172,
57,78.1,155,мъж,качване,средна,нисковъглехидратен,86.0,78.1,57,71,64,95,93,118,111,"зеленчуци, яйца, сирене","тестени изделия, риба",нисковъглехидратен,5,False,62.5,2407,88,53,271,
62,61.1,200,жена,отслабване,висока,растителен,61.0,61.1,65,85,83,108,99,86,81,"плодове, ориз, зеленчуци","яйца, зеленчуци",растителен,2,False,48.9,2381,145,78,283,
63,47.4,152,жена,качване,средна,растителен,57.0,47.4,98,82,74,107,105,90,82,"риба, пилешко, яйца","зеленчуци, пилешко",растителен,4,False,37.9,2069,102,72,263,
23,89.3,157,жена,отслабване,висока,растителен,81.7,89.3,113,98,90,92,85,104,101,"картофи, сирене, зеленчуци","яйца, зеленчуци",растителен,3,False,71.4,2467,139,99,293,
