age,weight,height,sex,goal,activity,recommended_diet,initial_weight,final_weight,duration_days,waist_before,waist_after,hips_before,hips_after,chest_before,chest_after,food_likes,food_dislikes,diet_type_used,satisfaction_level,success,estimated_lean_mass,calories_deficit,macro_protein,macro_fat,macro_carbs,food_intolerance
22,64.0,193,жена,поддържане,висока,вегетариански,58.0,64.0,138,77,69,97,87,89,85,"яйца, риба, пилешко","яйца, плодове",вегетариански,2,Не,62.2,2224,114,72,238,фъстъци
29,71.0,162,мъж,поддържане,висока,кето,56.0,71.0,151,72,62,94,87,89,79,"мляко, хляб, зеленчуци","сладки, пилешко",кето,6,Да,50.2,2079,125,44,138,фъстъци
46,72.9,191,жена,качване,средна,високопротеинов,75.2,72.9,75,95,93,105,102,110,109,"пилешко, сирене, зеленчуци","сладко, тестени изделия",високопротеинов,10,False,58.3,1914,81,88,217,
41,109.2,196,жена,качване,висока,нисковъглехидратен,108.2,109.2,53,99,89,96,94,99,98,"ориз, плодове, пилешко","картофи, зеленчуци",нисковъглехидратен,4,True,87.4,2142,144,60,186,
27,80.0,192,мъж,отслабване,ниска,високопротеинов,69.0,80.0,172,93,92,114,110,116,113,"сладки, пилешко, плодове","плодове, пилешко",високопротеинов,5,Не,53.8,1771,98,76,268,глутен
49,56.0,162,мъж,отслабване,висока,вегетариански,44.0,56.0,155,103,94,112,103,96,96,"хляб, зеленчуци, плодове","риба, пилешко",вегетариански,2,Не,65.0,1524,126,75,290,глутен
22,97.1,161,мъж,качване,средна,балансиран,103.4,97.1,107,93,90,120,112,108,104,"яйца, тестени изделия, пилешко","зеленчуци, сирене",балансиран,7,False,77.7,2152,106,59,179,
43,94.0,161,жена,качване,средна,кето,84.0,94.0,146,101,101,92,85,87,82,"мляко, бобови, сладки","яйца, плодове",кето,10,Да,57.7,2230,93,60,242,фъстъци
34,80.6,178,жена,поддържане,висока,нисковъглехидратен,75.8,80.6,63,105,101,108,98,104,96,"яйца, риба, плодове","ориз, сирене",нисковъглехидратен,9,True,64.5,2074,114,73,178,
23,110.0,150,мъж,поддържане,средна,кето,99.0,110.0,99,76,74,92,90,107,100,"бобови, сладки, пилешко","пилешко, риба",кето,2,Не,66.6,1425,117,66,199,фъстъци
20,54.0,154,мъж,качване,висока,кето,46.0,54.0,144,71,64,94,84,120,120,"пилешко, сладки, яйца","яйца, хляб",кето,1,Не,57.0,2227,88,74,157,
18,97.0,181,мъж,поддържане,ниска,високопротеинов,93.0,97.0,127,104,101,106,98,102,101,"сладки, пилешко, зеленчуци","пилешко, мляко",високопротеинов,10,Не,59.3,2255,117,47,203,лактоза
48,50.0,169,жена,поддържане,средна,високопротеинов,43.0,50.0,31,105,100,96,90,115,109,"сладки, зеленчуци, риба","сладки, бобови",високопротеинов,2,Не,60.6,2458,158,84,275,глутен
46,88.0,155,жена,отслабване,средна,кето,78.0,88.0,94,71,70,97,87,116,107,"пилешко, плодове, мляко","пилешко, яйца",кето,8,Не,49.5,2292,142,45,220,
22,79.8,191,мъж,отслабване,средна,балансиран,86.7,79.8,64,102,98,95,91,98,96,"пилешко, плодове, яйца","пилешко, риба",балансиран,10,True,63.8,1959,87,99,291,
22,63.2,191,жена,отслабване,средна,високопротеинов,66.8,63.2,90,98,89,120,117,87,84,"яйца, риба, ориз","плодове, сирене",високопротеинов,6,True,50.6,2018,82,94,158,
29,108.0,156,жена,отслабване,висока,нисковъглехидратен,104.0,108.0,91,82,73,106,102,102,98,"сладки, риба, яйца","сладки, мляко",нисковъглехидратен,5,Да,61.3,1464,91,65,197,глутен
48,110.9,152,мъж,отслабване,средна,растителен,116.4,110.9,114,78,69,116,114,95,90,"зеленчуци, риба, пилешко","сладко, картофи",растителен,7,True,88.7,1611,140,62,189,
20,54.0,158,жена,отслабване,висока,кето,43.0,54.0,122,94,85,91,82,89,79,"мляко, хляб, яйца","мляко, риба",кето,6,Не,52.9,1970,111,47,106,глутен
20,96.0,180,мъж,качване,ниска,нисковъглехидратен,83.0,96.0,165,95,88,115,114,108,101,"зеленчуци, риба, плодове","пилешко, сладки",нисковъглехидратен,6,Не,51.0,1585,82,70,271,глутен
56,96.3,165,мъж,качване,средна,балансиран,99.1,96.3,49,88,83,104,101,92,85,"сладко, пилешко, тестени изделия","яйца, тестени изделия",балансиран,3,False,77.0,2481,116,97,157,
59,79.5,189,мъж,качване,висока,растителен,77.2,79.5,75,104,94,119,113,112,104,"плодове, тестени изделия, пилешко","яйца, риба",растителен,1,True,63.6,1748,99,59,265,
52,111.2,198,жена,отслабване,средна,растителен,119.0,111.2,76,72,62,115,111,86,79,"сирене, риба, сладко","ориз, плодове",растителен,9,True,89.0,1684,102,99,277,
18,60.7,168,жена,отслабване,висока,балансиран,70.1,60.7,61,72,62,95,88,99,91,"сирене, тестени изделия, сладко","ориз, сладко",балансиран,1,True,48.6,2480,111,70,188,
28,66.3,190,жена,поддържане,средна,високопротеинов,66.2,66.3,38,96,94,118,110,99,91,"картофи, яйца, сладко","картофи, сладко",високопротеинов,6,True,53.0,2063,141,97,194,
31,69.4,194,мъж,отслабване,висока,балансиран,66.7,69.4,53,98,97,92,89,101,91,"яйца, зеленчуци, картофи","тестени изделия, сладко",балансиран,1,False,55.5,1727,105,75,252,
63,47.4,152,жена,качване,средна,растителен,57.0,47.4,98,82,74,107,105,90,82,"риба, пилешко, яйца","зеленчуци, пилешко",растителен,4,False,37.9,2069,102,72,263,
25,90.0,165,мъж,поддържане,средна,нисковъглехидратен,90.0,90.0,72,87,78,93,87,95,95,"пилешко, мляко, хляб","яйца, хляб",нисковъглехидратен,3,Не,47.3,2093,160,43,115,лактоза
63,115.0,193,жена,качване,средна,балансиран,112.4,115.0,49,103,98,99,95,94,92,"яйца, зеленчуци, плодове","яйца, сладко",балансиран,8,True,92.0,1658,128,72,200,
42,102.0,194,мъж,поддържане,ниска,нисковъглехидратен,91.0,102.0,115,89,83,91,81,85,80,"бобови, хляб, пилешко","мляко, плодове",нисковъглехидратен,9,Да,69.2,1791,118,84,199,глутен
42,95.0,200,мъж,поддържане,средна,балансиран,80.0,95.0,118,106,98,100,94,97,95,"пилешко, хляб, плодове","зеленчуци, пилешко",балансиран,8,Не,64.2,1876,100,46,163,фъстъци
22,56.0,171,жена,качване,висока,кето,44.0,56.0,102,86,76,120,111,89,84,"риба, яйца, мляко","плодове, сладки",кето,2,Не,59.0,2072,96,82,279,глутен
63,71.1,178,мъж,отслабване,ниска,растителен,65.5,71.1,82,90,81,102,94,80,73,"сладко, плодове, картофи","плодове, сладко",растителен,8,False,56.9,2174,138,50,157,
63,122.5,158,жена,качване,средна,растителен,113.8,122.5,66,73,64,93,83,111,107,"зеленчуци, сладко, риба","картофи, пилешко",растителен,10,True,98.0,2347,90,94,185,
27,87.0,150,жена,отслабване,висока,балансиран,96.6,87.0,50,110,104,98,97,91,86,"зеленчуци, сладко, тестени изделия","риба, плодове",балансиран,5,True,69.6,1684,130,70,206,
65,74.0,181,жена,отслабване,средна,нисковъглехидратен,68.0,74.0,85,88,78,96,90,91,85,"яйца, пилешко, бобови","плодове, зеленчуци",нисковъглехидратен,6,Не,47.1,2360,97,60,277,
52,101.1,175,жена,поддържане,ниска,нисковъглехидратен,100.3,101.1,91,95,87,114,107,105,101,"картофи, риба, ориз","пилешко, ориз",нисковъглехидратен,5,True,80.9,1519,103,61,222,
28,75.5,154,жена,качване,средна,високопротеинов,83.5,75.5,35,83,74,113,105,98,88,"пилешко, зеленчуци, плодове","плодове, пилешко",високопротеинов,10,False,60.4,2073,92,92,271,
18,51.0,176,мъж,отслабване,висока,балансиран,40.0,51.0,32,91,91,114,104,104,100,"риба, зеленчуци, плодове","зеленчуци, сладки",балансиран,3,Не,47.3,1874,146,66,279,
63,64.1,153,жена,качване,висока,растителен,69.9,64.1,67,104,103,93,88,96,91,"яйца, риба, зеленчуци","яйца, тестени изделия",растителен,3,False,51.3,2174,139,74,166,
57,78.0,159,жена,отслабване,ниска,вегетариански,72.0,78.0,125,79,78,93,93,95,86,"яйца, плодове, пилешко","хляб, риба",вегетариански,8,Да,53.3,1833,106,74,233,фъстъци
19,73.6,158,мъж,качване,ниска,високопротеинов,66.3,73.6,59,105,98,115,110,118,117,"риба, сирене, плодове","тестени изделия, риба",високопротеинов,9,True,58.9,2114,90,65,201,
25,105.0,192,мъж,отслабване,ниска,вегетариански,105.0,105.0,121,85,76,100,100,91,87,"пилешко, яйца, хляб","сладки, риба",вегетариански,8,Не,57.8,1623,137,72,156,лактоза
28,126.5,163,жена,поддържане,ниска,балансиран,118.9,126.5,95,106,104,102,100,102,98,"плодове, риба, зеленчуци","пилешко, ориз",балансиран,5,True,101.2,1525,122,59,240,
31,80.0,183,жена,поддържане,средна,кето,77.0,80.0,142,98,93,92,88,82,81,"пилешко, хляб, мляко","риба, яйца",кето,3,Да,53.3,2273,139,54,203,глутен
45,96.8,167,жена,отслабване,висока,балансиран,103.6,96.8,77,102,99,114,110,119,110,"сирене, яйца, тестени изделия","тестени изделия, риба",балансиран,5,True,77.4,1882,85,69,245,
20,111.6,171,мъж,поддържане,средна,балансиран,106.9,111.6,76,93,84,95,87,106,101,"сирене, пилешко, тестени изделия","картофи, пилешко",балансиран,4,True,89.3,2231,102,53,292,
