food_name,energy_kcal,protein_g,fat_g,carbs_g,vitamins_total,category
крема сирене,51,0.9,5.0,0.8,0.822,Млечни продукти
Сирене Neufchatel,215,7.8,19.4,3.1,1.691,Млечни продукти
Requeijao Cremoso Light Catupiry,49,0.8,3.6,0.9,0.0,Други
сирене рикота,30,1.5,2.0,1.5,0.373,Млечни продукти
крема сирене с ниска мазнина,30,1.2,2.3,1.2,0.48,Млечни продукти
крема сирене без мазнини,19,2.8,0.2,1.4,0.656,Млечни продукти
сирене Gruyere,116,8.3,9.1,0.1,0.647,Млечни продукти
Сирене чедър,113,6.4,9.3,0.9,0.673,Млечни продукти
Пармезан сирене,71,6.4,4.5,0.6,0.643,Млечни продукти
Романо сирене,19,1.6,1.3,0.2,0.516,Млечни продукти
Пармезан сирене настърган,21,1.4,1.4,0.7,0.441,Млечни продукти
Порт Салют сирене,465,31.4,37.2,0.8,1.664,Млечни продукти
Швейцарско сирене,98,6.7,7.7,0.4,0.596,Млечни продукти
Козе сирене трудно,128,8.6,10.1,0.6,1.572,Млечни продукти
сирене Gouda,100,7.0,7.7,0.6,0.415,Млечни продукти
сирене пипер джак луцерн,75,5.0,6.0,0.0,0.0,Млечни продукти
сирене с килограми,106,7.1,8.3,0.9,0.443,Млечни продукти
Gjetost сирене,1058,21.9,67.0,96.8,14.723,Млечни продукти
Tilsit Cheese,136,9.8,10.4,0.8,0.527,Други
козе сирене,103,6.1,8.4,0.009,1.033,Млечни продукти
тухлено сирене,111,7.0,8.9,0.8,0.673,Млечни продукти
сирене асадеро,402,25.5,31.9,3.2,1.395,Млечни продукти
Сирене Камбер,90,5.9,7.3,0.1,1.07,Млечни продукти
Сиренето на проволон намалява мазнините,310,27.9,19.9,4.0,1.856,Млечни продукти
сирене Roquefort,314,18.3,26.0,1.7,3.031,Млечни продукти
Сирене Queso Blanco,366,24.0,28.7,3.0,1.968,Млечни продукти
Queso Seco Cheese,315,23.8,23.6,2.0,1.501,Други
козе сирене меко,75,5.2,6.0,0.0,0.786,Млечни продукти
сирене моцарела,90,6.7,6.6,0.7,0.536,Млечни продукти
Чихуахуа сирене,494,28.5,39.2,7.3,1.534,Млечни продукти
Сирене Limburger,98,6.0,8.2,0.1,1.014,Млечни продукти
сирене Муенстър,486,30.9,39.7,1.5,1.803,Млечни продукти
Queso Fresco сирене,365,22.1,29.1,3.6,1.776,Млечни продукти
Бри сирене,100,6.2,8.3,0.1,0.855,Млечни продукти
Пименто сирене,525,31.0,43.7,2.4,5.478,Млечни продукти
Мексиканско сирене,316,27.7,21.7,3.8,1.085,Млечни продукти
Фета сирене,80,4.3,6.4,1.2,1.327,Млечни продукти
сирене моцарела без мазнини,159,35.8,0.0,4.0,0.888,Млечни продукти
Сирене Проволон,463,33.8,35.1,2.8,1.916,Млечни продукти
сирене анехо,492,28.3,39.6,6.1,1.434,Млечни продукти
Скъпа,64,0.08,0.0,17.3,0.171,Други
Ябълково масло,35,0.045,0.063,8.5,0.54,Мазнини
плодово сладко,56,0.0,0.095,13.8,2.197,Плодове
Шоколадов лешник разпространява,100,1.0,5.5,11.5,1.302,Ядки и семена
Фъстъчено масло,88,3.3,7.4,3.6,3.363,Мазнини
Разпространение на фъстъка,101,3.8,8.5,2.2,4.19,Други
пилешко разпространение,88,10.1,9.8,2.3,1.967,Месо и месни продукти
Разпространение на сирене,708,17.0,68.6,8.4,5.649,Млечни продукти
Тахини,86,2.7,7.2,3.9,1.356,Други
Оранжев мармалад,49,0.014,0.0,13.3,1.461,Други
американско сирене,46,2.6,3.4,1.4,0.576,Млечни продукти
Кайсиево сладко,48,0.1,0.01,12.9,2.169,Други
Фъстъчено масло,94,3.8,8.0,3.5,3.613,Мазнини
разпространение на шунка и сирене,37,2.4,2.8,0.3,0.664,Млечни продукти
домашно приготвяне на пилешки и оризови касероли,27,2.0,1.0,2.4,0.0,Месо и месни продукти
пикник хляб,65,4.2,4.7,1.3,1.027,Зърнени и тестени
царевична тамале,309,5.8,12.0,44.3,3.973,Други
печен картоф със сос със сирене бекон,451,18.4,25.9,44.4,35.418,Млечни продукти
Китайско яйце,223,7.4,10.6,24.3,3.046,Яйца
масло кроасан,231,4.7,12.0,26.1,2.93,Зърнени и тестени
енхилада със сирене говеждо месо,323,11.9,17.6,30.5,6.083,Млечни продукти
Хеш от говеждо месо с картофи,387,20.6,24.2,21.9,7.749,Зеленчуци
бисквити с бекон за яйце,436,17.4,25.3,35.4,7.457,Месо и месни продукти
геврек с яйце сирене шунка,483,26.7,18.5,52.4,10.367,Млечни продукти
Кесадила с пиле,529,27.1,27.5,43.3,9.415,Месо и месни продукти
царевичен ориз,110,1.8,0.3,25.2,24.642,Други
Kung Pao пиле,779,59.0,42.2,41.5,70.846,Месо и месни продукти
говеждо емпанада,298,10.1,16.3,27.8,5.866,Други
Frijoles със сирене,225,11.4,7.8,28.7,4.893,Млечни продукти
Бурито с говеждо месо,285,9.1,8.1,43.9,6.895,Месо и месни продукти
Хрупкав пилешки сандвич,350,14.8,17.6,33.2,0.0,Месо и месни продукти
enchilada със сирене,374,15.4,25.3,21.2,6.49,Млечни продукти
свинско яйце,189,8.4,6.1,25.1,27.962,Месо и месни продукти
Царевица на кочана с масло,155,4.5,3.4,31.9,10.149,Мазнини
Палачинки с масло сироп,260,4.1,7.0,45.4,5.094,Мазнини
Бурито с боб,224,7.0,6.7,35.7,4.96,Бобови
бъркани яйца,100,6.5,7.6,1.0,3.176,Други
печен картоф със заквасена сметана,393,6.7,22.3,50.0,40.595,Зеленчуци
Турция и сос,161,14.1,6.3,11.1,5.542,Други
Пилешко яйце,158,8.4,3.6,22.8,13.389,Месо и месни продукти
зеленчукова ролка за яйца,153,5.2,3.6,25.0,13.553,Зеленчуци
Рол от сирене с шунка,67,3.8,5.2,1.1,1.462,Млечни продукти
бисквити с шунка,386,13.4,18.4,43.8,6.522,Месо и месни продукти
Лимоново пиле,1440,68.6,74.9,122.0,53.041,Месо и месни продукти
хумус,435,12.0,21.1,49.5,24.359,Други
кроасан с яйце сирене,368,12.8,24.7,24.3,3.539,Млечни продукти
enchirito със сирене говеждо зърно,344,17.9,16.1,33.8,10.653,Млечни продукти
сладко кисело свинско месо,38,1.2,2.2,3.3,0.978,Месо и месни продукти
торта от раци,160,11.3,10.4,5.1,2.006,Десерти и сладки
Ролка за вечеря с яйца,107,3.3,2.2,18.2,2.254,Други
Английски кифла с наденица за яйце,472,22.1,29.9,28.8,10.108,Месо и месни продукти
Палачинки с мътеница,86,2.6,3.5,10.9,1.334,Други
омлет,94,6.4,7.1,0.4,2.593,Яйца
тако с маруля от пилешко сирене,185,13.0,6.2,19.3,6.129,Млечни продукти
Английски кифла със сирене наденица,365,14.3,22.3,27.3,7.053,Млечни продукти
Картофена гратин,328,12.4,18.6,27.6,28.753,Зеленчуци
бисквити с яйце,436,17.4,25.3,35.4,7.166,Яйца
пържени пържени картофи,222,2.4,10.5,29.4,7.473,Зеленчуци
сладко кисело пиле,46,1.8,2.3,4.4,1.627,Месо и месни продукти
бурито с говеждо месо,460,27.8,18.0,47.0,13.465,Месо и месни продукти
начо с канелена захар,592,7.2,36.0,63.4,14.715,Други
Arroz Con Gandules,209,4.0,5.7,35.4,1.878,Други
Чили Кон Карне,271,14.7,8.8,33.1,8.369,Други
Арроз Кон Хабичуелас,223,6.2,5.4,37.3,2.232,Други
Бисквити с наденица,412,10.7,27.1,33.3,6.0,Месо и месни продукти
Вегетарианска яхния,304,42.0,7.4,17.3,37.134,Други
пилешки сандвич със сирене,632,29.4,38.8,41.6,15.092,Млечни продукти
бисквити с яйчна пържола,410,17.9,28.4,21.3,5.681,Други
Тако салата,212,10.0,11.2,17.9,6.36,Други
Succotash,213,9.7,1.5,46.8,20.053,Други
начо със сирене джалапено чушки,608,16.8,34.1,60.1,7.694,Млечни продукти
бисквити с яйчна шунка,442,20.4,27.0,31.4,7.77,Месо и месни продукти
Ladyfingers,103,3.0,2.6,16.9,2.536,Други
Моцарела пържена пържола,102,4.6,5.9,7.7,1.163,Други
Тамале Навахо,285,11.7,11.4,33.7,7.158,Други
боровинки палачинки,84,2.3,3.5,11.0,1.93,Други
химичанга с говеждо сирене,443,20.1,23.4,39.3,10.864,Млечни продукти
Сандвич с яйце сирене,340,15.6,19.4,25.9,5.749,Млечни продукти
бисквити с яйчен бекон,458,17.0,31.1,28.6,9.024,Месо и месни продукти
Pupusas con Queso,300,13.7,15.5,26.2,2.138,Други
преработен червен боб,336,11.7,16.1,36.0,4.739,Бобови
Тостада с гуакамоле,180,6.2,11.6,16.0,4.359,Други
Пилешки сандвич,468,30.4,20.9,39.1,22.991,Месо и месни продукти
Пържен ориз,228,6.5,3.2,43.4,1.598,Други
Pupusas del Cerdo,283,14.0,12.7,28.1,4.737,Други
Пай с пуешка гърне,699,25.8,34.9,70.3,0.0,Други
сирене кроасан,331,7.4,16.7,37.6,4.879,Млечни продукти
Чимичнга с говеждо месо,425,19.6,19.7,42.8,14.11,Месо и месни продукти
Френски тост с масло,178,5.2,9.4,18.0,3.063,Мазнини
Сандвич със сирене с шунка,347,19.2,16.3,30.9,9.337,Млечни продукти
Английски кифла с масло,189,4.9,5.8,30.4,4.392,Мазнини
пикантна юфка един тиган вечеря тандако,172,0.0,1.2,5.5,0.0,Други
Сандвич със сирене шунка,352,20.7,15.5,33.3,7.915,Млечни продукти
